country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",11-07-2026 14:00,16.316553,80.413302,SO2,8,17,11
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",11-07-2026 14:00,16.316553,80.413302,OZONE,27,30,29
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",11-07-2026 14:00,14.465052,78.824187,CO,16,18,17
India,Andhra Pradesh,Kurnool,"Sita Rama Nagar, Kurnool - APPCB",11-07-2026 14:00,15.83411,78.028546,PM2.5,41,66,55
India,Andhra Pradesh,Kurnool,"Sita Rama Nagar, Kurnool - APPCB",11-07-2026 14:00,15.83411,78.028546,PM10,44,66,56
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",11-07-2026 14:00,16.186555,81.13219,NO2,12,30,18
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",11-07-2026 14:00,16.186555,81.13219,NH3,3,4,3
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",11-07-2026 14:00,16.186555,81.13219,CO,7,18,11
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",11-07-2026 14:00,14.438164,79.966814,PM10,64,83,73
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",11-07-2026 14:00,14.438164,79.966814,NO2,23,31,29
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",11-07-2026 14:00,14.438164,79.966814,NH3,5,7,5
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",11-07-2026 14:00,16.9872867,81.7363176,NH3,0,1,1
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",11-07-2026 14:00,16.9872867,81.7363176,CO,10,22,17
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",11-07-2026 14:00,25.265194,87.012947,NH3,0,8,3
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",11-07-2026 14:00,25.265194,87.012947,OZONE,6,24,15
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",11-07-2026 14:00,25.204762,85.51496,PM10,6,52,19
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-07-2026 14:00,25.56752,83.966379,NH3,3,3,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-07-2026 14:00,25.56752,83.966379,CO,22,27,25
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-07-2026 14:00,25.56752,83.966379,OZONE,12,58,32
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",11-07-2026 14:00,25.7808257,84.7446768,SO2,20,23,21
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",11-07-2026 14:00,25.7808257,84.7446768,OZONE,1,2,2
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",11-07-2026 14:00,24.7955,84.9994,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",11-07-2026 14:00,24.7955,84.9994,NH3,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",11-07-2026 14:00,24.7955,84.9994,CO,11,12,11
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",11-07-2026 14:00,24.792403,84.992416,PM10,42,305,103
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",11-07-2026 14:00,16.509717,80.612222,PM2.5,61,85,73
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",11-07-2026 14:00,16.509717,80.612222,PM10,63,90,76
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",11-07-2026 14:00,17.72,83.3,NO2,29,106,73
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",11-07-2026 14:00,26.071318,91.87488,SO2,31,33,32
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",11-07-2026 14:00,26.181742,91.78063,CO,14,15,14
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",11-07-2026 14:00,26.1875,91.744194,PM10,22,500,236
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",11-07-2026 14:00,26.1875,91.744194,SO2,32,35,33
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",11-07-2026 14:00,26.349082,92.68449,NO2,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",11-07-2026 14:00,25.560083,87.553265,OZONE,9,40,22
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",11-07-2026 14:00,27.308328,84.531742,NO2,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",11-07-2026 14:00,26.63086,84.90051,PM2.5,13,344,111
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",11-07-2026 14:00,26.63086,84.90051,NO2,2,4,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",11-07-2026 14:00,26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",11-07-2026 14:00,26.63086,84.90051,OZONE,52,60,57
India,Bihar,Munger,"Town Hall, Munger - BSPCB",11-07-2026 14:00,25.376776,86.471523,CO,26,45,35
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",11-07-2026 14:00,26.1209,85.3647,NH3,NA,NA,NA
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",11-07-2026 14:00,13.67,79.35,SO2,4,9,6
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",11-07-2026 14:00,13.615387,79.40923,PM10,64,84,75
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",11-07-2026 14:00,16.536107,80.594233,PM10,NA,NA,NA
